"Avg Sequence Length","Number of Merges","_defaultColorIndex","id","name"
"16.285857071464267","34","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"16.256371814092955","35","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"16.227386306846576","36","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"16.1984007996002","37","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"16.170414792603697","38","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"16.142928535732135","39","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"16.116441779110446","40","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"16.09095452273863","41","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"16.066466766616692","42","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"16.04247876061969","43","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
